id,category,requirement,rationale,parent,origin,verify_method,verify_status_b38ad51,priority,status,notes
SYS-001,Functional-Navigation,"The dashboard shall present camera content organized into at least three named views: ""Streams"", ""Stills"", and ""Map"".",Separates concerns by media/interaction type.,STK-001; STK-003; STK-004; STK-005,User,D,PASS,High,Baselined,
SYS-002,Functional-Navigation,The dashboard shall provide a control that lets the user make exactly one view active at a time.,Single active view bounds resource use.,STK-001,Claude (derived),D,PASS,High,Baselined,Tab control.
SYS-003,Functional-Navigation,"The dashboard shall display, in each view's tab label, the count of cameras in that view.",At-a-glance inventory.,STK-001,Claude (derived),D,PASS,Low,Baselined,
SYS-004,Performance,"The dashboard shall mount media (streams, iframes, images) only for the currently active view.",Prevents ~40 simultaneous embeds.,STK-011,Claude (derived),"A,D",PASS,High,Baselined,Rationale for SYS-002.
SYS-010,Functional-Streams,"For each camera classified as an HLS stream, the dashboard shall play the stream using an in-browser HLS player.",SLU Pixelcaster m3u8 has no native Chromium playback.,STK-003,User,"T,D",PASS,High,Baselined,
SYS-011,Functional-Streams,"The dashboard shall use the bundled JavaScript HLS library for HLS playback whenever that library reports itself supported, using native HLS only as a fallback.",canPlayType('...mpegurl')='maybe' in Chromium is unreliable; library is authoritative.,STK-003; SYS-010,Claude (derived),T,PASS,High,Baselined,Defect fix during MVP; see design decision D-004.
SYS-012,Functional-Streams,"For each camera classified as an embeddable stream, the dashboard shall render it within an inline frame.",wetmet/Dacast/Nest embed via iframe.,STK-003,User,D,PASS,High,Baselined,
SYS-013,Functional-Streams,The dashboard shall begin playback of an HLS grid stream when its card enters the viewport.,Defer stream start until visible.,STK-003; STK-011,Claude (derived),D,PASS,Medium,Baselined,IntersectionObserver autostart; observed flaky under headless automation only.
SYS-014,Functional-Streams,"While a live stream card is displayed and visible, the dashboard shall maintain continuous playback of that stream.",User expects an always-live tile.,STK-003,"Claude (derived, implied)",T,FAIL,High,Baselined,"IMPLIED requirement, not implemented. wetmet iframes stall to black after minutes -> ANOM-001. Illustrates a needs->requirements gap."
SYS-020,Functional-Stills,"For each camera classified as a still image, the dashboard shall display the image and shall refresh it at a fixed interval not exceeding 30 s while the document is visible.",Periodic sources update every ~1-5 min; refresh keeps it current.,STK-004,User+Claude,T,PASS,High,Baselined,Interval value (20 s) chosen by implementer -> TBR-002.
SYS-021,Functional-Stills,The dashboard shall append a cache-busting query parameter to each still-image request.,Force a fresh frame past HTTP caches.,STK-004,Claude (derived),"I,T",PASS,Medium,Baselined,
SYS-030,Functional-LinkOut,"For each camera classified as a link-out, the dashboard shall present a control that opens the camera's source page in a new browsing context.",Frame-busting sources cannot embed.,STK-008,User,D,PASS,Medium,Baselined,
SYS-040,Functional-Map,The Map view shall display an interactive map with a marker at the position of each camera that has geographic coordinates.,Spatial overview.,STK-005,User,D,PASS,High,Baselined,
SYS-041,Functional-Map,"For each camera that has both an azimuth and a field-of-view, the Map view shall render a field-of-view wedge spanning azimuth +/- (fov/2) using compass bearings (0 deg = North, increasing clockwise).",Show camera coverage direction/spread.,STK-005,User,"A,D",PASS,High,Baselined,Verified against dummy: left 359/right 69 -> az 34 NE.
SYS-042,Functional-Map,"Upon user selection of a camera marker, the Map view shall open that camera's stream in a modal overlay.",Map-to-stream navigation.,STK-006,User,D,PASS,Medium,Baselined,
SYS-043,Functional-Map,"The Map view shall present, for each marker, a tooltip that identifies the camera.",Identify a pin on hover.,STK-005,Claude (derived),D,PASS,Low,Baselined,Current content (name+az+fov+elev) under change -> CR-007.
SYS-044,Design-Map,The dashboard shall compute field-of-view wedge vertices using a geodesic destination model on a spherical-earth approximation.,Correct bearings/distances at metro scale.,SYS-041,Claude (derived),A,PASS,Medium,Baselined,
