name,page_url,stream_url,type,status,source,render,view,lat,lon,left,right,azimuth,fov,ptz,range_m,elev_m,ground_m,notes
SLU South Campus (Doisy),https://www.slu.edu/webcam/doisy-research-center-view.php,https://cs5.pixelcaster.com/live/slu-caroline.stream/playlist.m3u8,hls_direct,live,wx_webcams+tab_group,entity:camera.slu_south_campus,streams,38.622317,-90.236445,282.5,107.5,15,185,1,,177,164,Pixelcaster HLS; unauthenticated; verified. Sibling SLU cams exist (Clock Tower/Quad/BSC/Sports Complex) | PTZ with 4 scheduled positions; cone is the full sweep envelope per user
MO DNR Pollution Cam (St. Marys),https://dnr.mo.gov/air/hows-air/current-quality/st-louis-camera,https://dnr.mo.gov/sites/dnr/files/styles/large/public/media/framegrabs/cf006e2d-134f-4519-a2bc-f1fc49f59df9/0/framegrab.jpg?itok=uyQ_hayU,still_image,live,wx_webcams+tab_group,entity:camera.mo_dnr_st_louis,stills,38.633197,-90.310478,87.16,114.8,100.98,27.64,,,207,180,JPEG updated every minute; atop SSM St. Marys 6420 Clayton Rd. Drupal itok token appended 2026-07-12 (bare URL began 404ing; token is path-stable)
Airport Cam (163-05-01),https://api.wetmet.net/widgets/stream/frame.php?uid=a566f17e5b69e098457b8590d26e1087,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.732399,-90.346729,303.4,313.61,308.51,10.21,,,222,183,Signed HLS (30-min wmsAuthSign); iframe frame.php directly
100 Above the Park (163-03-01),https://api.wetmet.net/widgets/stream/frame.php?uid=03224dc411fe7e5ffd2d81eb5fe689dd,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.6428,-90.2648,100,6,233,266,1,,263,151,KSDK Forest Park cam embeds this same uid | PTZ that pans rarely; cone is the observed sweep envelope per user
Belleville Square (163-09-01),https://api.wetmet.net/widgets/stream/frame.php?uid=8135044461c6e7f62579fbf28ee5f3ce,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,,,,,,,,,,,
Chesterfield (163-01-01),https://api.wetmet.net/widgets/stream/frame.php?uid=2dc3c001ceec9118998247266e6af1f3,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.6523,-90.5608,,,,,1,,240,199,360 PTZ atop Drury hotel; azimuth coverage unknown - pin only
Edwardsville IL (163-07-01),https://api.wetmet.net/widgets/stream/frame.php?uid=edf873d727f0630023fb76f435cf763c,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.811597,-89.955851,245,335,290,90,,,174,165,
Arnold MO (163-08-01),https://api.wetmet.net/widgets/stream/frame.php?uid=bc34ef3137c34fe22a66fb2cb83a6688,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.4442,-90.3777,192,212,202,20,,,182,159,Pointed at Arnold city water tower
O'Fallon (163-06-01),https://api.wetmet.net/widgets/stream/frame.php?uid=97a6631c2321bfd296cbf3febeea8321,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,,,,,,,,,,,
MoBot Garden (163-02-01),https://api.wetmet.net/widgets/stream/frame.php?uid=5718829f71b02996ff269b4c59687442,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.613974,-90.25732,262.2,290.2,276.2,28,,,,,Elevations TBD
Old Town Florissant (163-10-01),https://api.wetmet.net/widgets/stream/frame.php?uid=8cc1236564fc71dd121f03d1a3178a7b,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,,,,,,,,,,,
WWT Raceway (163-04-01),https://api.wetmet.net/widgets/stream/frame.php?uid=427e8434470c40b803903f7db97b04e9,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,38.6511,-90.1365,237.51,251.59,244.55,14.08,,,158,129,KSDK labeled this St. Charles but feed shows WWT Raceway per user geoguess 2026-07-12. Dropped from KSDK index page as of 2026-07 but frame still live | Coords ESTIMATED by Claude at WWT Raceway grandstand from user geoguess; user extents+elevations; verify position
St. Charles Main Street (163-11-01),https://api.wetmet.net/widgets/stream/frame.php?uid=a4ceba0667cc516e264eece0caa0b508,,wetmet_embed,live,wx_webcams+tab_group,iframe,streams,,,,,,,,,,,
Arch Park East View,https://www.archpark.org/visit/webcams,https://iframe.dacast.com/live/b44603d7-b221-fc91-5fa2-f9d35bf908f2/e263ea86-84e6-66eb-1b29-646a22389f14,dacast_embed,live,wx_webcams+stl_live+tab_group,iframe_stream,streams,38.6245,-90.1845,57.67,169.49,113.58,111.82,,,326,136,Dacast iframe extracted from archpark.org | Atop Gateway Arch; pin offset E of true position to declutter from West view
Arch Park West View,https://www.archpark.org/visit/webcams,https://iframe.dacast.com/live/b44603d7-b221-fc91-5fa2-f9d35bf908f2/2c46c826-e173-5e74-db7f-ee319f0fb8a6,dacast_embed,live,wx_webcams+stl_live+tab_group,iframe_stream,streams,38.6247,-90.1852,233.89,341.56,287.73,107.67,,,326,136,Dacast iframe extracted from archpark.org | Atop Gateway Arch; pin offset W of true position to declutter from East view
Forest Park Boathouse (Nest),https://video.nest.com/live/fLFAmuujwh,https://video.nest.com/embedded/live/fLFAmuujwh?autoplay=1,nest_embed,offline,wx_webcams+tab_group,iframe_stream,streams,,,,,,,,,,,Token valid & public; is_online=false 2026-07-07; may return
Cuba Airport (Nest),https://video.nest.com/live/oNoqSA2M3e,https://video.nest.com/embedded/live/oNoqSA2M3e?autoplay=1,nest_embed,offline,wx_webcams+tab_group,iframe_stream,streams,,,,,,,,,,,Token valid & public; is_online=false 2026-07-07; ~80mi SW; user keeps
Innsbrook Aspen Lake (Nest),https://video.nest.com/live/AURPpwyunS,https://video.nest.com/embedded/live/AURPpwyunS?autoplay=1,nest_embed,offline,wx_webcams,iframe_stream,streams,,,,,,,,,,,Token valid & public; is_online=false 2026-07-07
EarthCam Arch Riverview,https://www.earthcam.com/usa/missouri/stlouis/?cam=arch_riverview,,embed_page,live,wx_webcams+stl_live+tab_group,link,streams,38.622414,-90.175545,265.76,304.89,285.33,39.13,,,138,126,Signed expiring HLS + frame-busting; link-out per user | Malcolm Martin Memorial Park side; render=link so pin opens link-out
KMOV Live Stream,https://www.kmov.com/live_stream/,,embed_page,live,stl_live,link,streams,,,,,,,,,,,Newscast player; needs click; frame restrictions; link-out
Bommarito SkyFOX Helicopter,https://fox2now.com/traffic/bommarito-skyfox-helicopter/,,embed_page,event_only,stl_live,link,streams,,,,,,,,,,,Streams only when helicopter airborne; link-out
STL Skyline from Clayton (Nest),https://video.nest.com/live/0O2iJ0fNub,,nest_embed,dead,wx_webcams+stl_live+tab_group,skip,streams,,,,,,,,,,,Nest API 404; share revoked
BPV Arch (Nest),https://video.nest.com/embedded/live/xEcZgwOB2n,,nest_embed,dead,wx_webcams,skip,streams,,,,,,,,,,,Nest API 404
BPV Stadium (Nest),https://video.nest.com/embedded/live/If7ipfLrvH,,nest_embed,dead,wx_webcams,skip,streams,,,,,,,,,,,Nest API 404
Lambert Airport Cam (Nest),https://video.nest.com/live/mM7kdMjPiB,,nest_embed,dead,wx_webcams,skip,streams,,,,,,,,,,,Nest API 404
Renewal by Andersen (Nest),https://video.nest.com/live/Wsj5338V6B,,nest_embed,dead,wx_webcams,skip,streams,,,,,,,,,,,Nest API 404
Innsbrook Golf Course (Nest),https://video.nest.com/live/bjEgg6PSMn,,nest_embed,dead,wx_webcams,skip,streams,,,,,,,,,,,Nest API 404
Amoco Sign Cam (Nest),https://video.nest.com/live/ylSPgWHwX1,,nest_embed,dead,wx_webcams,skip,streams,,,,,,,,,,,Nest API 404
Fox2 STL Area Cams,https://fox2now.com/webcams/,,index_page,live,wx_webcams+stl_live+tab_group,skip,streams,,,,,,,,,,,Index page; per-cam pages could be mined later
MODOT Gateway Guide,https://www.modot.org/gatewayguide,,index_page,live,wx_webcams+tab_group,skip,streams,,,,,,,,,,,Traffic cam index; separate future task. gatewayguide.com bookmark redirects here
KSDK Weather Cams,https://www.ksdk.com/weather-cameras,,index_page,live,wx_webcams+stl_live,skip,streams,,,,,,,,,,,Index; its cams are the wetmet 163-xx set above
BJC SkyCam Network (KMOV),https://www.kmov.com/weather/bjc_skycam_network/,,index_page,live,stl_live,skip,streams,,,,,,,,,,,KMOV skycam index; minable later
IDOT Gateway Traffic Cameras,https://gis-idot.opendata.arcgis.com/datasets/IDOT::illinois-gateway-traffic-cameras/explore,,index_page,live,wx_webcams,skip,streams,,,,,,,,,,,IL traffic cam ArcGIS dataset; pairs with MODOT future task
Travel Midwest,https://travelmidwest.com/,,index_page,live,wx_webcams,skip,streams,,,,,,,,,,,Regional traffic index
Kirkwood Farmer's Market (163-12-01),https://api.wetmet.net/widgets/stream/frame.php?uid=135e4f36feff282afcc00a1abdd58fb7,,wetmet_embed,live,ksdk_index,iframe,streams,,,,,,,,,,,Found on ksdk.com/weather-cameras 2026-07; signed HLS
KMOV Barnes-Jewish Hospital,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Barnes%20East.jpg,still_image,live,kmov_index,entity:camera.kmov_barnes_jewish_hospital,stills,38.635143,-90.263975,88.38,121.36,104.87,32.98,,,225,155,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV 360 Hilton Ballpark East,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/360hilton.jpg,still_image,live,kmov_index,entity:camera.kmov_360_hilton_ballpark_east,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Westport,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/westport.jpg,still_image,live,kmov_index,entity:camera.kmov_westport,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV St. Louis Children's Hospital,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/cwe_childrens.jpg,still_image,live,kmov_index,entity:camera.kmov_st_louis_children_s_hospital,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Alton Memorial Hospital,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/Alton%20Memorial_Full.jpg,still_image,live,kmov_index,entity:camera.kmov_alton_memorial_hospital,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
KMOV Lambert Airport,https://www.firstalert4.com/weather/cams/,https://webpubcontent.gray.tv/kmov/weather/airport.jpg,still_image,live,kmov_index,entity:camera.kmov_lambert_airport,stills,,,,,,,,,,,Ford Skycam Network JPEG; updated in place; refresh cadence ~minutes
