id,req_id,method,verification_statement,success_criteria,level,status_b38ad51,evidence
VER-001,SYS-001,D,Load the dashboard and enumerate the view tabs.,"Streams, Stills, and Map tabs are present.",System,PASS,Browser screenshot 2026-07-11/12; 3 tabs shown.
VER-002,SYS-004,"A,D",Inspect that switching views tears down prior media; observe only active-view embeds exist in the DOM.,No inactive-view iframes/videos remain mounted.,System,PASS,teardownView() clears grid; DOM inspected.
VER-003,SYS-010,"T,D",Open Streams; observe the SLU HLS tile decode video frames.,A live video frame renders (currentTime advances).,System,PASS,currentTime advanced 0->40 s; campus frame visible.
VER-004,SYS-011,T,"In a Chromium engine reporting canPlayType='maybe', confirm hls.js (MediaSource blob) is used, not native src.",video.src is a blob: URL; segments load.,Unit/System,PASS,"JS probe: srcBlob=true, rs=4."
VER-005,SYS-014,T,Leave a wetmet stream tile visible and time until it stalls to a black frame.,Stream plays continuously for the display duration.,System,FAIL,ANOM-001: stalls to black after minutes; needs manual reload.
VER-006,SYS-020,T,Instrument the still-image refresh; measure interval between requests while visible.,Interval <= 30 s.,Unit/System,PASS,IMG_REFRESH_MS=20000; cache-busted _t param each cycle.
VER-007,SYS-021,"I,T",Inspect still-image request URLs across refresh cycles.,Each request carries a unique cache-busting param.,Unit,PASS,_t=<epoch> appended.
VER-008,SYS-041,"A,D",Analyze wedge vertices for a known az/fov and confirm orientation on the map.,Wedge centerline = azimuth; edges = az +/- fov/2; opens toward the correct cardinal.,System,PASS,"Dummy az34/fov70 opened NE (359-69 deg), confirmed."
VER-009,SYS-042,D,Click a map marker.,A modal opens showing that camera's stream.,System,PASS,Tower Grove test pin opened live MoBot feed.
VER-010,SYS-044,A,Review destPoint() spherical destination math against the haversine forward formula.,Formula matches; outputs correct at metro distances.,Unit,PASS,Code review + geometry check.
VER-011,SYS-046,I,Inspect the rendered map for OSM attribution.,Attribution control names OpenStreetMap.,System,PASS,'(c) OpenStreetMap contributors' visible.
VER-012,SYS-062,T,Run parse_geo over left/right edge cases including wraparound and left/right-over-az precedence.,Computed azimuth/fov match expected for all cases.,Unit,PASS,"6/6 cases pass (359/69->34/70, etc.)."
VER-013,SYS-063,T,Run the converter over source rows including 'skip' rows.,No 'skip' row appears in cameras.json.,Unit,PASS,16 skipped at MVP; 13 at b38ad51.
VER-014,SYS-080,"I,D",Serve the repo as static files and load it; confirm no server code executes.,Site works from a plain static file server.,System,PASS,python -m http.server; GitHub Pages live.
VER-015,SYS-081,I,Grep the deployed sources for external script/style hosts.,No external CDN <script>/<link> at runtime.,System,PASS,hls.js + Leaflet vendored under vendor/.
VER-016,SYS-082,T,Resize viewport to 320 px; check for horizontal overflow.,No horizontal page scroll at >=320 px.,System,PASS,Responsive grid collapses to 1 column.
VER-017,SYS-090,D,Enable GitHub Pages from default branch root and load the published URL.,Published site returns 200 and renders.,System,PASS,kawfey.github.io/stl-webcam-dashboard live.
VER-018,SYS-091,D,Push a commit to the default branch and observe redeploy.,Published site reflects the new commit.,System,PASS,Observed on prior deploys.
VER-019,SYS-100,I,Check each camera against the (to-be-defined) St. Louis area boundary.,All cameras fall inside the defined boundary.,System,BLOCKED,Boundary undefined (TBD-001); cannot verify.
VER-020,SYS-050,D,View a non-live camera.,A status indicator distinguishes it from live.,System,PASS,offline/event_only/dead badges shown.
